维度,id,意图词(同义/口语,可增删),搜(推荐菜系/类型),避(排除·硬过滤),标记,备注
口味,light,"清淡、不油腻、少油、少盐、口味淡、原味、养生、肠胃不好、给老人小孩吃、坐月子、好消化、素净","粤菜、潮汕菜、淮扬菜、江浙菜、本帮菜、蒸菜、汤、煲、轻食、日料、云南菜、家常菜","川菜、湘菜、麻辣、水煮、干锅、重庆、麻辣烫、香锅、油炸、烧烤",taste:清淡,
口味,heavy,"重口、重油重盐、够味、过瘾、下饭、不要清淡","川菜、湘菜、火锅、烧烤、干锅、香锅、江西菜、贵州菜",,taste:重口,
口味,noSpicy,"不吃辣、不能吃辣、怕辣、忌辣、不沾辣、辣了胃疼、无辣、少辣","粤菜、淮扬菜、日料、西餐、东北菜、面食、清汤火锅","川菜、湘菜、麻辣、水煮、干锅、重庆、辣子、麻辣烫、冒菜、香锅、贵州菜、江西菜、辣",taste:清淡;noSpicy,
口味,midSpicy,"微辣、小辣、能吃一点辣",,,,不强制
口味,heavySpicy,"无辣不欢、越辣越好、变态辣、重辣、嗜辣、爽辣","川菜、湘菜、重庆火锅、水煮鱼、辣子鸡、贵州菜、江西菜、麻辣烫、冒菜、香锅",,taste:重口,
健康,fitness,"高蛋白、增肌、健身餐、减脂、低脂、低卡、低油、低碳水、控糖、健康餐、鸡胸肉、水煮、瘦一点","轻食、沙拉、健身餐、健康简餐、日料、牛排、白切、白灼、卤味","油炸、炸鸡、麻辣烫、火锅、干锅、香锅、甜品、烘焙、汉堡",health:轻食,
健康,salad,"轻食、沙拉、吃草、简单点、清爽简餐","轻食、沙拉、健康简餐、三明治、谷物碗","火锅、烧烤、油炸、麻辣烫",health:轻食,
素食忌口,veg,"素食、吃素、纯素、全素、不吃肉、佛系、斋、蔬食、vegan、净素","素食、素菜馆、蔬食、素斋、轻食沙拉","烧烤、烤肉、火锅、涮肉、炸鸡、牛排、海鲜、烤鸭",scene:素食,区分蛋奶素/锅边素·建议下单备注
素食忌口,noSeafood,"不吃海鲜、海鲜过敏、不吃鱼虾、不吃虾蟹、不吃贝类、不吃生的","川菜、湘菜、烤肉、东北菜、西北菜、面食、中餐","海鲜、海产、生蚝、生猛海鲜、海鲜自助、潮汕海鲜、舟山海鲜、鱼生、刺身",noSeafood,不应排除潮汕牛
素食忌口,noBeefLamb,"不吃牛羊、不吃羊肉、膻味受不了、不吃牛肉",,"羊蝎子、涮羊肉、烤全羊、羊汤、潮汕牛、牛排",,牛/羊需分别处理
素食忌口,halal,"清真、回民、穆斯林、halal、不吃猪肉、不吃大肉","清真、兰州拉面、新疆菜、西北菜、清真烧烤","猪、东坡肉、糖醋里脊、锅包肉、叉烧",scene:清真,建议只出清真认证店
素食忌口,noOffal,"不吃内脏、不吃下水、不吃肥肠、不吃脑花",,"肥肠、脑花、毛肚、黄喉、卤煮、爆肚、下水",,配料级·建议下单备注
素食忌口,noCilantro,"不吃香菜、香菜过敏、不吃葱姜蒜、不吃折耳根",,,,下单/到店备注·搜索层不处理
温度口感,warm,"热乎、暖胃、喝点热的、吃点汤、汤汤水水、热汤、驱寒、天冷、暖和点","火锅、汤锅、砂锅、煲、粥、汤面、面馆、麻辣烫、关东煮、羊汤、胡辣汤、炖菜、冬阴功、潮汕牛肉锅","沙拉、刺身、寿司、凉皮、凉面、冰品、冷餐",temp:热,若同时noSpicy→清汤锅/砂锅/粥/汤面
温度口感,refresh,"清爽、解腻、爽口、开胃、没胃口、酸辣开胃、来点酸、凉快点","凉菜、凉皮、冷面、越南菜、泰国菜、酸汤、柠檬鱼、酸菜鱼、日料、轻食、果蔬","油炸、红烧、奶油浓汤、肥肠、扣肉",temp:凉爽,
气味体验,noSmell,"吃完身上不臭、一身味、味道不大、不串味、衣服不沾味、不想一身火锅味、约会不能有味、见客户、谈事前吃","西餐、日料、粤菜、本帮菜、江浙菜、泰餐、茶餐厅、轻食、咖啡简餐、创意菜、私房菜","火锅、烧烤、烤肉、麻辣烫、铁板、涮肉、孜然、韩式烤肉、炭烤、香锅、水煮",scene:无烟,
场景,date,"约会、二人世界、浪漫、有情调、氛围感、安静好聊、纪念日","西餐、日料、创意菜、私房菜、小酒馆、景观餐厅、ins风餐厅","大排档、苍蝇馆子、嘈杂快餐、麻辣烫",scene:约会,
场景,business,"商务、谈事、请客、宴请、有面子、有包间、接待","粤菜、淮扬菜、本帮菜、中高端中餐、酒楼、西餐","快餐、路边摊、网红打卡",scene:商务,
场景,party,"朋友聚、热闹、人多、撸串、嗨、搓一顿","火锅、烧烤、川菜、东北菜、海鲜大排档、自助",,scene:聚会,
场景,solo,"一个人、单人、快、不尴尬、随便吃口、工作日午饭","面馆、日式定食、拉面、盖饭、便当、麻辣烫、米线、轻食、连锁简餐","大份桌餐、需多人点的硬菜",scene:一人食,
场景,family,"带孩子、亲子、一家人、有儿童椅、老人小孩都能吃","中餐家常、粤菜、自助、披萨、西式简餐、海底捞类","重辣、生食、烈酒馆",scene:家庭,
场景,latenight,"夜宵、宵夜、半夜、深夜、晚点开的、营业到很晚","烧烤、小龙虾、大排档、麻辣烫、火锅、粥、24小时",,scene:夜宵,
场景,drink,"小酌、喝点、配酒、清吧、整两杯","居酒屋、bistro、小酒馆、烧烤、东北菜",,scene:小酌,
食量价位,cheap,"管饱、便宜、实惠、性价比、学生党、人均低、量大、省钱、穷","面馆、盖饭、米线、麻辣烫、快餐、东北菜、自助、黄焖鸡、沙县","高端、fine dining、私房菜",budget:低,
食量价位,premium,"精致、高端、贵点没事、品质、米其林、黑珍珠、犒劳自己","高端日料、fine dining、西餐、私房菜、米其林榜、黑珍珠榜","快餐、路边摊",budget:高,
食量价位,meat,"来点硬菜、吃肉、肉食动物、大口吃肉","烤肉、炖菜、东北菜、牛排、烤鸭、铁锅炖",,,
食量价位,noodle,"嗦粉、嗦面、想吃面、来碗粉","面馆、米线、螺蛳粉、牛肉面、拉面、刀削面",,,
